ingredient	foodon_id	foodon_label	string_score
beet	FOODON:03306696	beet (raw)	90
black cherry	FOODON:03412479	black cherry plant	90
blackcurrant	FOODON:03544205	42050 - blackcurrant flavour (efsa foodex2)	90
yogurt	FOODON:00003889	food (blend)	90
brilliant blue fcf	PATO:0000318	blue	90
buckwheat	FOODON:00005347	buckwheat groat	90
calcium	FOODON:03413024	calcium  hydrogen carbonate	90
calcium chloride	CHEBI:17996	chloride	90
calcium salts of fatty acids	FOODON:03413278	sodium, potassium and calcium salts of fatty acids	90
cardamom	FOODON:00002925	black cardamom pod	90
carrot	FOODON:03301570	carrot root (raw)	90
carrot pumpkin apple	FOODON:00003486	pumpkin	90
chicory root	FOODON:03000037	chicory root (raw)	90
chicory root inulin	CHEBI:15443	inulin	90
coconut base	FOODON:00003449	coconut	90
coffee	FOODON:03303109	imitation coffee substitute	90
corn	FOODON:03301422	sweet corn kernel (raw)	90
corn starch	FOODON:03317364	corn starch hydrolyzate	90
cream	FOODON:03420160	mammalian light cream (18%-30%)	90
creme	FOODON:03311471	marshmallow creme	90
crunchy cocoa rice	FOODON:03301072	cocoa	90
culture	FOODON:03311651	bubod starter culture	90
d	FOODON:03413770	d-biotin	90
eggs	FOODON:03400718	28  eggs (efg)	90
emulsifiers	FOODON:03315270	shortening, made with emulsifiers	90
enzyme	FOODON:03401311	enzyme supplement	90
food starch	FOODON:03510093	no modified food starch added claim	90
glucose syrup	FOODON:03302788	glucose syrup (liquid)	90
glucose-fructose	CHEBI:28757	fructose	90
granola	FOODON:03309706	granola bar	90
ground vanilla bean	FOODON:00003738	vanilla bean	90
hibiscus	FOODON:03543581	35810 - hibiscus infusion flowers (efsa foodex2)	90
honey almonds	UBERON:0036016	honey	90
indigotine	FOODON:03413122	indigotine, indigo carmine	90
iron	FOODON:03413124	iron oxides and hydroxides	90
key lime	FOODON:00003661	lime	90
lactic acid	FOODON:03460101	lactic acid fermentation	90
live	FOODON:02010019	live animal	90
lycopene from tomato	CHEBI:15948	lycopene	90
malt	FOODON:03311528	malt cooler	90
milk chocolate candies	FOODON:03302806	milk chocolate	90
milk cream	FOODON:00002399	mammalian milk cream (18%+)	90
milk ingredient	FOODON:00004272	ingredient	90
milk mineral	CHEBI:46662	mineral	90
milk permeate	UBERON:0001913	milk	90
milk protein	FOODON:03460748	mammalian milk protein	90
mint	FOODON:03415005	apple mint plant	90
monocalcium phosphate	CHEBI:26020	phosphate	90
nonfat milk solids	FOODON:03304321	lowfat cow milk (fortified, nonfat milk solids added)	90
oat base	FOODON:00003429	oat	90
paprika	FOODON:03301223	paprika (ground)	90
pea protein	FOODON:03306694	pea protein concentrate	90
pumpkin seeds	FOODON:03541206	12060 - pumpkin seeds (efsa foodex2)	90
purple sweet potato	FOODON:00003445	sweet potato	90
quinoa	FOODON:03310193	quinoa seed (dried)	90
rapeseed lecithin	FOODON:00003407	rapeseed	90
red beetroot	FOODON:03317254	beetroot	90
rhubarb	FOODON:03309858	rhubarb stalk (raw)	90
rosemary	FOODON:03414392	extracts of rosemary	90
sea salt	FOODON:03544059	40590 - sea salt (efsa foodex2)	90
skimmed goat milk	FOODON:02021057	goat milk	90
soy	FOODON:03311458	soybean bran	90
soy lecithin	FOODON:03306653	soy lecithin spread	90
soybeans	FOODON:03510219	food allergen labelling about soybeans and products thereof	90
spices	FOODON:03401248	0800000 - spices (ec)	90
