Ontology ID	label	cross reference IRI	synonym	English Exact syn	narrow synonym	Broad Synonym	Related synonym	British english syn.	Italian Exact syn.	French Exact syn.	german Exact syn.	spanish Exact syn.	portuguese Exact syn.	term contributor
FOODON:03470139	food dry salting	langual:J0139		dry salted										
FOODON:03470140	drum-drying	langual:J0140												
FOODON:03470141	natural heat drying	langual:J0141		field drying|sun drying										
FOODON:03470142	chilling or freezing	langual:J0142		preservation by refrigeration										
FOODON:03470143	drying under normal pressure	langual:J0143												
FOODON:03470144	artificial heat drying	langual:J0144												
FOODON:03470145	preservation by reducing water activity	langual:J0145												
FOODON:03470146	preservation by adding sugar	langual:J0146												
FOODON:03470147	food sterilization at ultra high temperature (UHT)	langual:J0147		UHT sterilized										
FOODON:03470148	ultra pasteurization (UP) by heat	langual:J0148												
FOODON:03470149	preservation by adding acid	langual:J0149												
FOODON:03470150	sous vide cooking	langual:J0150		sous vide										
FOODON:03470151	preservation of food component by heat treatment	langual:J0151												
FOODON:03470152	ingredient preservation by irradiation	langual:J0152												
FOODON:03470153	preservation by adding spices or extracts	langual:J0153												
FOODON:03470154	preservation by adding inorganic acids or salts	langual:J0154												
FOODON:03470155	preservation by adding organic acids or salts	langual:J0155												
FOODON:03470156	preservation by adding antibiotics	langual:J0156												
FOODON:03470157	food ultra-filtration	langual:J0157												
FOODON:03470158	pasteurization by heat after filling	langual:J0158												
FOODON:03470159	pasteurization by heat before filling	langual:J0159												
FOODON:03470160	ultra high pressure sterilization	langual:J0160												https://orcid.org/0000-0002-8844-9165
FOODON:03470161	preservation by electron accelerator radiation	langual:J0161												
FOODON:03470162	disinfection by irradiation	langual:J0162												
FOODON:03470163	drying by radiation	langual:J0163												
FOODON:03470165	drying by microwave radiation	langual:J0165												
FOODON:03470166	drying by infrared heat radiation	langual:J0166												
FOODON:03470168	drying under increased pressure	langual:J0168												
FOODON:03470169	concentration by reverse osmosis	langual:J0169												
FOODON:03470170	sun drying	langual:J0170												
