type	Ontology ID	NTR	label	parent	term	MIFC	definition	definition source	comment	example of use	EquivalentTo	SubClassOf	has specified input	has specified output	has characteristic	see also IRI	term contributor	curation status	created
																			
3	FOODON:03460103		component substitution	material processing	component substitution		A material processing in which a component of a material is removed and replaced by another material.		LanguaL curation note: Use the appropriate narrower term for a food product that was prepared from a natural food product by removing an endogeneous component and adding a component of the same class. Index the specific component added under *INGREDIENT ADDED*, regardless of its level.										
3	FOODON:03460208		fat substitution	component substitution|component reduction	fat substitution		A component substition process in which endogenous fat is removed and fat from a different source is added.			fat substitution in egg substitute in which edogenous egg fat is replaced by vegetable oil.									
3	FOODON:03460250		protein substitution	component substitution	protein substitution														
																			
				Parent term	FoodOn Term	MIFC	Definition												
3	FOODON:03000507	NTR	material energy modulation	material state modulation	material energy modulation		Material processing which involves a change in energy applied to or inherent in a material.	https://en.wikipedia.org/wiki/Energy											
3	FOODON:03000508	NTR	thermal energy modulation	material energy modulation	thermal energy modulation		An energy modulation in which thermal energy (heat) is added to or removed from a material or its environment.												
2	FOODON:03000509	NTR	material (thermally processed)	material entity	material (thermally processed)		A material which has been subject to thermal energy modulation.												
1	FOODON:03000510	NTR	thermally treated	physical object quality	thermally treated		A characteristic of a material that has undergone a thermal energy modulation process.												
																			
3	FOODON:03000511	NTR	temperature control	thermal energy modulation	temperature control		A thermal energy modulation in which a material or environment is artificially controlled to ensure its temperature falls within a specified range.	https://en.wikipedia.org/wiki/Temperature_control	syn temperature regulation										
1	PATO:0000146		temperature	physical object quality	temperature		A physical quality of the thermal energy of a system.												
1			core temperature	temperature	core temperature		A temperature of the bearer’s core region.												
1			surface temperature	temperature	surface temperature		A temperature of the bearer’s outer layer.												
1	FOODON:00004729		ambient temperature	temperature	ambient temperature		A temperature which refers to the average kinetic energy of molecules in the air surrounding an object or within a particular area.	https://en.wikipedia.org/wiki/Room_temperature								https://www.gmp-compliance.org/gmp-news/ambient-room-temperature-cold-what-is-what|http://purl.obolibrary.org/obo/XCO_0000058		https://www.gmp-compliance.org/gmp-news/ambient-room-temperature-cold-what-is-what|http://purl.obolibrary.org/obo/XCO_0000058	
				Parent term	FoodOn Term	MIFC	Definition												
2	FOODON:03000512	NTR	uncontrolled environment	material entity	uncontrolled environment		An environment which is not temperature or humidity controlled.												
1	FOODON:03000513	NTR	uncontrolled temperature	temperature	uncontrolled temperature	uncontrolled	A temperature characteristic of a material which is not subjected to a temperature control process.												
2	FOODON:03000514	NTR	controlled environment	material entity	controlled environment		An environment which is temperature and humidity controlled.		"syn . regulated environment Using the word ""controlled"" here rather than ""regulated"" since regulated may imply not just mechanical but regulatory control."										
1	FOODON:03000515	NTR	controlled temperature	temperature	controlled temperature		A temperature characteristic of a bearer which is the output of a temperature regulation process.		syn. controlled temperature										
1	FOODON:03000516	NTR	foodsafe freezing temperature	temperature	foodsafe freezing temperature		A freezing temperature (of a bearer) which meets safe food storage standards.												
1	FOODON:03000517	NTR	water freezing temperature	temperature	water freezing temperature		A temperature which is of water when it transitions from liquid to solid phase at 1 atm of pressure. 		The measurement context of 1 atmosphere of pressure roughly equates to pressure on Earth at sea-level.										
1	FOODON:03000518	NTR	chilling temperature	temperature	chilling temperature		A temperature which indicates that the bearer is below a cool temperature but above a freezing temperature 									https://www.gmp-compliance.org/gmp-news/ambient-room-temperature-cold-what-is-what			
1	FOODON:03000519	NTR	foodsafe chilling temperature	chilling temperature	foodsafe chilling temperature		A chilling temperature (of a bearer) which meets safe food storage standards.		The bearer can be a food item or a refrigerator / cooler.										
1	FOODON:03000520	NTR	cold temperature	temperature	cold temperature		A temperature which indicates that the bearer is below a cool temperature.		"This covers common language use of ""cold"" which includes sub-zero temperature."										
1	FOODON:03000521	NTR	cool temperature	temperature	cool temperature		A temperature which indicates that the bearer is below room temperature but above a cold temperature.		"The range of ""cool"" vs. ""cold"" temperatures is fuzzy."										
1	FOODON:00005451		room temperature	temperature	room temperature	ambient	A temperature which encompasses the range of air temperatures most people find comfortable indoors while dressed in typical clothing.	https://en.wikipedia.org/wiki/Room_temperature								https://www.gmp-compliance.org/gmp-news/ambient-room-temperature-cold-what-is-what			
1	FOODON:03000522	NTR	ISO 1 standard temperature	room temperature	ISO 1 standard temperature		A reference temperature of 20 Degrees celcius which enables standardized comparison of material characteristics.	https://en.wikipedia.org/wiki/ISO_1											
1	FOODON:03000523	NTR	neutral temperature	temperature	neutral temperature		A temperature relative to a material entity at which it maintains its physical or chemical constitution over time, all other things considered.		"Fresh food material doesn't really have a neutral temperature since the conditions for being ""fresh"" are also the conditions for eventual decay.  A frozen material may have a neutral temperature range within which it won't change its composition appreciably."										
1	FOODON:03000524	NTR	warm temperature	temperature	warm temperature		A temperature (of a bearer) which is greater than room temperature and less than a hot temperature.												
1	FOODON:03000525	NTR	hot temperature	temperature	hot temperature		A temperature (of a bearer) which is greater than warm temperature.		This may be subjectively relative to a material - hot oil vs hot water										
1	FOODON:03000526	NTR	skin burning temperature	temperature	skin burning temperature		A temperature of a bearer which is capable of inflicting pain or injury to epithelial tissue due to thermal exposure by conduction or infrared radiation.		This pertains to cooking implements that may pose a burn risk.										
1	FOODON:03000527	NTR	scalding temperature	skin burning temperature	scalding temperature		A skin burning temperature of a bearer which indicates the bearer is a liquid.												
1	FOODON:03000528	NTR	boiling point	temperature	boiling point		A temperature characteristic of a liquid at which the vapour pressure of the liquid equals the pressure surrounding the liquid and the liquid changes into a vapour.	https://en.wikipedia.org/wiki/Boiling_point	The boiling point of a liquid varies depending upon the surrounding environmental pressure.[https://en.wikipedia.org/wiki/Boiling_point]										
1	FOODON:03000529	NTR	water boiling point	boiling point	water boiling point		A boiling point characteristic of water												
																			
				Parent term	FoodOn Term	MIFC	Definition												
3	FOODON:03000530	NTR	material cooling	thermal energy modulation	material cooling		A thermal energy modulation in which heat is removed from a material or (indirectly) its environment.												
3	FOODON:03000531	NTR	cooling material to a threshold	material cooling	cooling material to a threshold		A material cooling process which commenses when a material is placed into an environment which has a cooler temperature.		"This definition is engineered to fit both refrigeration and ""icewater soaking"" or other food preparation processes."										
3	FOODON:03470131		material chilling	cooling material to a threshold	material chilling		A cooling material to a threshold process which is at or above the freezing point of water, and less than a cool (~7°C) temperature.		The temperature range for cooling varies between 30°F and 45°F (-1°C and 7°C), depending on jurisdiction.										
2	FOODON:00002642		food (chilled)	food material by characteristic	food (chilled)		Food material which is the output of a cooling material to a threshold process.												
2	FOODON:03000532	NTR	food (foodsafe chilled)	food (chilled)	food (foodsafe chilled)		Chilled food which is within a recommended foodsafe chilling temperature.												
1	FOODON:00004725		chilled	physical object quality	chilled	☑	A chilling temperature characteristic of material indicating that it bears this temperature by having undergone a cooling material to a threshold process.												
1	FOODON:00004726		chilled fresh	chilled	chilled fresh		A chilled temperature of material which also holds a fresh characteristic.		This doesn't necessarily imply that a food product is foodsafe chilled.		'has characteristic' some 'fresh' and 'has characteristic' some 'chilled'								
1	FOODON:00004730		foodsafe chilled	chilled	foodsafe chilled	☑	A characteristic of chilled food material that has a temperature which meets safe food storage standards.												
3	FOODON:03470142		refrigeration	cooling material to a threshold|food preservation	refrigeration		A cooling material to a threshold process which is carried out during short or long-term food storage.				('material chilling' or 'material freezing')								
3	FOODON:03470172		refrigeration with a refrigerating agent	refrigeration	refrigeration with a refrigerating agent		A process of refrigeration involving a refrigerating agent.		Refrigeration can be as complex as with compressors and gas, or as simple as with ice in a container.								https://orcid.org/0000-0002-8844-9165		
2	FOODON:03000533	NTR	food (refrigerated)	food material by process	food (refrigerated)		Food material which has undergone refrigeration.		This class doesn't commit to whether or not refrigerated food has been kept at a food safe temperature standard. Also, this term covers both cooked, reheated and uncooked (possibly fresh) food.										
1	FOODON:03000534	NTR	refrigerated	food characteristic	refrigerated	☑	A characteristic of food material which has undergone refrigeration and/or is within a refrigerator.		One can say that food material is refrigerated, but this does not commit to the degree to which such material has become chilled or frozen.										
3	FOODON:03470136		material freezing	cooling material to a threshold|food preservation	material freezing		A cooling material to a threshold which transition its phase from a liquid or gas into a solid.		We commonly associate water with freezing, but dry ice is an example of gaseous carbon dioxide cooling under pressure and turning directly into solid carbon dioxide blocks. [https://en.wikipedia.org/wiki/Dry_ice]										
2	FOODON:03302148		food (frozen)	food material by characteristic	food (frozen)		Food material which has undergone freezing.		Includes both meat, fish, and kinds of fruit and vegetable that freeze well.										
1	PATO:0001985		frozen	temperature	frozen	☑	A quality inhering in a bearer by virtue of the bearer's being kept below its freezing point.												
2	FOODON:00004731		food (fresh frozen)	food (frozen)	food (fresh frozen)		Food which has a fresh frozen characteristic.												
1	FOODON:00004469		fresh frozen	frozen	fresh frozen		A frozen characteristic which indicates the bearer (organism material) had a fresh or blanched state immediately before being frozen.	https://www.ecfr.gov/current/title-21/chapter-I/subchapter-B/part-101/subpart-F/section-101.95	syn “frozen fresh.” 										
1	FOODON:03000535	NTR	frozen after cooking	frozen	frozen after cooking		A characteristic of food material which was cooked and then frozen.												
3	FOODON:03000536	NTR	food natural freezing	material freezing	food natural freezing		A material freezing process in which ambient natural environment sub-zero temperatures are used to freeze food material.	https://en.wikipedia.org/wiki/Frozen_food											
3	FOODON:03470128		slow freezing	material freezing	slow freezing		A freezing process which involves a controlled ambient air temperature of around -18 degrees Celcius.		A recommendation for conventional freezing is to set a food freezer at -18 Celsius in order to pull heat out of added materials in a timely fashion.										
3	FOODON:03000537	NTR	quiescent freezing	slow freezing	quiescent freezing		A slow freezing process where liquid confections, such as popsicles or ice pops, are frozen without stirring or agitation. This technique creates a solid, dense block of ice with no air incorporated.	https://recipes.howstuffworks.com/question499.htm											
1	FOODON:03000538	NTR	quiescently frozen	frozen	quiescently frozen		A frozen characteristic of a liquid which is the result of a quiescent freezing process.	https://recipes.howstuffworks.com/question499.htm											
3	FOODON:03470132		quick freezing	material freezing	quick freezing		A freezing process which happens much more quickly than slow (conventional) freezing,	https://en.wikipedia.org/wiki/Frozen_food	"syn ""fast freezing"""	Lobster quick frozen in liquid nitrogen.									
3	FOODON:03470171		cryogenic freezing	quick freezing	cryogenic freezing		Frozen very rapidly by means of refrigerating agents such as liquid nitrogen or carbon dioxide.	https://en.wikipedia.org/wiki/Flash_freezing	This process involves being frozen by a refrigerating agent.	Lobster frozen in liquid nitrogen.									
1	FOODON:00004728		flash frozen	frozen	flash frozen		A frozen characteristic which indicates the bearer is an output of a flash freezing process.												
3	FOODON:03000539	NTR	deep freezing????	quick freezing	deep freezing????		Check TransformON hierarchy???												
3	FOODON:03000540	NTR	flash freezing	quick freezing	flash freezing		Distinguish from quick freezing?		Does this specifcally imply liquid nitrogen?										
3	FOODON:03000541	NTR	air-blast freezing	quick freezing	air-blast freezing		A quick freezing process which accomplishes cooling by high-velocity air circulation.	https://en.wikipedia.org/wiki/Frozen_food											
																			
3	FOODON:03000542	NTR	heating material	thermal energy modulation	heating material		An energy modulation in which thermal energy (heat) is applied to a material or its environment.		syn. heat treatment										
1	FOODON:03440022		heat-treated	physical object quality	heat-treated	☑	A characteristic of food material which indicates that it has undergone a heating cycle at least once.		syn. heated										
2	FOODON:03316043		food (heat-treated)	food material by characteristic	food (heat-treated)		Food material which has undergone heating.												
1	FOODON:03440014		fully heat-treated	heat-treated	fully heat-treated	☑	A characteristic of food material which indicates that it has been heat-treated throughout, leaving no part raw.												
2	FOODON:03000543	NTR	food (fully heat-treated)	food (heat-treated)	food (fully heat-treated)		Food material which has completely undergone heating.												
1	FOODON:03440018		partially heat-treated	heat-treated	partially heat-treated	☑	A characteristic of food material which indicates that part of its material has undergone heating.												
2	FOODON:03000544	NTR	food (partially heat-treated)	food (heat-treated)	food (partially heat-treated)		Food material which has partially undergone heating.												
																			
																			
1	FOODON:03000545	NTR	unheated	physical object quality	unheated	☑	A characteristic of food material which indicates that it has not undergone heating.												
2	FOODON:03000546	NTR	food (unheated)	food material by characteristic	food (unheated)		Food material which has not undergone heating.												
3	FOODON:03000547	NTR	heating material to a threshold	heating material	heating material to a threshold		A heating material process with the objective of raising the temperature of a material to some upper limit.												
3	FOODON:03460241		thawing	heating material to a threshold	thawing		A heating material to a threshold from a frozen state to a temperature above 0 degrees Celsius.		LanguaL curation note: Used when the product or any indexed ingredient was frozen and then thawed. Excludes freeze-dried products and freeze-flo products.										
1	FOODON:00004727		thawed	physical object quality	thawed		A physical object quality indicating that its bearer is above a frozen temperature and that it was previously frozen.		This term doesn’t commit to exactly how cool or warm a material might be.										
2	FOODON:00004501		food (thawed)	thawed	food (thawed)		A food material which has been thawed.												
1	FOODON:00005179		thawed (from frozen raw)	thawed	thawed (from frozen raw)		A thawed characteristic of organism material indicating that it was raw just before being frozen and then thawed.												
3	FOODON:00005709		food heating	heating material to a threshold	food heating		A food treatment in which thermal energy (heat) is applied to a food material until an objective range of temperature or process time is achieved.												
3	FOODON:03000548	NTR	food cooking	food material processing	food cooking		The application of one or more thermal or acidification processes that change the chemical structure of food material such that it is no longer in a raw state.												
3	FOODON:03000549	NTR	cooking by acidification	food cooking	cooking by acidification		A food cooking process in which food material undergoes acidification.												
3	FOODON:03450002		food cooking by heating	food heating|food cooking	food cooking by heating		A food cooking process in which food material undergoes heating.												
2	FOODON:00001181		food (cooked)	food material by process	food (cooked)		A food material which has undergone a cooking process. 												
1	FOODON:03000550	NTR	cooked	food characteristic	cooked	☑	A characteristic of food material which indicates that it has undergone cooking.												
1	FOODON:03000551	NTR	cooked by heating	cooked	cooked by heating		A cooked characteristic of a material which indicates that it has undergone cooking by heating. 												
2	FOODON:00002971		food (precooked)	food material by characteristic	food (precooked)		Food material which has been prepared and cooked in advance so that it only needs to be heated quickly (if at all) before consumption.												
1	FOODON:03000552	NTR	precooked	cooked by heating	precooked	☑	A characteristic of food material which has been prepared and cooked in advance so that it only needs to be heated quickly (if at all) before consumption.												
1	FOODON:03000553	NTR	uncooked	food characteristic	uncooked	☑	A characteristic of food material which indicates that it has not been subjected to cooking.		Uncooked is similar to raw but doesn’t preclude frozen.										
																			
3	FOODON:03450004		cooking by dry heat	food cooking by heating	cooking by dry heat		Cooked at moderate to high levels of heat in which no liquid is added and only small amounts of fat may be added to prevent sticking.												
1	FOODON:03000554	NTR	dry heat cooked	food characteristic	dry heat cooked	☑	A characteristic of food material which indicates that it has undergone dry heat cooking.												
1	FOODON:03000555	NTR	food (dry heat cooked)	food material by characteristic	food (dry heat cooked)		A food material which has undergone a dry heat cooking process. 												
3	FOODON:03450005		food baking	cooking by dry heat	food baking		Cooked without moisture, covered or uncovered, in an oven.										https://orcid.org/0000-0002-8844-9165		
2	FOODON:03311631		baked good	bakery food product	baked good		Food material which has undergone baking.		How to distinguish from food (baked)?										
1	FOODON:03000556	NTR	baked	dry heat cooked	baked	☑	A characteristic of food material which indicates that it has undergone a baking process.												
2	FOODON:00002456		food (baked)	food (dry heat cooked)	food (baked)		Food material which is baked.												
3	FOODON:03450046		blind baking	food baking	blind baking		A food baking process in which a pie crust or other pastry is baked without a filling.	https://en.wikipedia.org/wiki/Blind-baking	LanguaL curation note: Use when a pie crust or other pastry is baked without the filling.							https://www.seriouseats.com/how-to-blind-bake-a-pie-crust			
2	FOODON:03306773		pie crust	bakery food product	pie crust		A thin shell made of pastry dough shaped in the form of a pie plate.												
2	FOODON:03000557	NTR	pie crust (raw)	pie crust	pie crust (raw)		A pie crust which has not been baked.												
2	FOODON:03000558	NTR	pie crust (baked)	pie crust|baked good	pie crust (baked)		A pie crust which has been baked.		"syn ""blind-baked crust"", the output of blind baking"										
3	FOODON:03450006		broiling or grilling	cooking by dry heat	broiling or grilling		Cooked without moisture under or over intense direct heat.												
3	FOODON:03000559	NTR	broiling	cooking by dry heat	broiling		A cooking by dry heat process in which heat is primarily delivered from above the food material.												
1	FOODON:03000560	NTR	broiled	dry heat cooked	broiled	☑	A characteristic of food material which indicates that it has undergone a broiling process.												
2	FOODON:03000561	NTR	food (broiled)	food (dry heat cooked)	food (broiled)		Food material which has been broiled.												
3	FOODON:03450007		charcoal broiling	broiling or grilling	charcoal broiling		Cooked without moisture over direct heat from a charcoal fire.												
3	FOODON:03000562	NTR	grilling	cooking by dry heat	grilling		A cooking by dry heat process in which heat is primarily delivered from below the food material.												
1	FOODON:03000563	NTR	grilled	dry heat cooked	grilled	☑				food (toasted)									
2	FOODON:03000564	NTR	food (grilled)	food (dry heat cooked)	food (grilled)		Food material which has been grilled.												
3	FOODON:03450008		griddle cooking	cooking by dry heat	griddle cooking		Cooking on a flat surface at medium heat with only a sufficient amount of fat used to prevent sticking.												
3	FOODON:03450009		cooked by popping	cooking by dry heat	cooked by popping		Cooking by agitating the food over a dry, high heat source, resulting in exploding.												
3	FOODON:03450010		food toasting	cooking by dry heat	food toasting		Cooking with direct heat until the surface of the food is browned, usually associated with bread or sandwiches.												
1	FOODON:03000565	NTR	toasted	dry heat cooked	toasted	☑	A characteristic of food material which indicates that it has undergone a toasting process.												
2	FOODON:00002659		food (toasted)	food (dry heat cooked)	food (toasted)		Food material which has undergone toasting.		This includes whole sandwiches rather than just individual pieces of bread.										
2	FOODON:03306255		toast	bread (cut)|food (toasted)	toast		A cut piece of bread which has been toasted.												
3	FOODON:03000566	NTR	roasting	cooking by dry heat	roasting		A cooking by dry heat process in which hot air covers the food, cooking it evenly on all sides from an open flame, oven, or other heat source.	https://en.wikipedia.org/wiki/Roasting	While Wikipedia indicates temperature ranges for roasting, since slow-roasting is a subclass, we avoid temperature conditions here.										
3	FOODON:03450044		rotisserie roasting	roasting	rotisserie roasting		Rotisserie is a style of roasting where meat is skewered on a spit and revolves over a flame or other heat source.		The rotation cooks the meat evenly in its own juices and allows easy access for continuous basting if desired. [Wikipedia]								https://orcid.org/0000-0002-8844-9165		
2	FOODON:00002744		food (roasted)	food (dry heat cooked)	food (roasted)		Food material which has been roasted.												
2	FOODON:03000567	NTR	meat (roasted)	food (roasted)	meat (roasted)		Animal meat which has been roasted.												
1	FOODON:03000568	NTR	roasted	dry heat cooked	roasted	☑	A characteristic of food material which indicates that it has undergone a roasting process.												
3	FOODON:00002404		meat roasting	roasting	meat roasting		A roasting process involving meat material.										https://orcid.org/0000-0002-8844-9165		
3	FOODON:03460391		seed roasting	food baking	seed roasting		A roasting process involving seeds.		LanguaL curation note: Used primarily for processing of seeds, such as coffee, spices, nuts, and cacao beans.										
3	FOODON:03000569	NTR	slow-roasting	roasting	slow-roasting		A roasting process that occurs over an extended period of time, typically at a relatively low temperature.												
1	FOODON:03000570	NTR	slow-roasted	roasted	slow-roasted		A characteristic of roasted food which indicates that it has undergone a slow roasting process.												
2	FOODON:03000571	NTR	food (slow-roasted)	food (roasted)	food (slow-roasted)		Food material which has been slow-roasted.												
3	FOODON:03000572	NTR	spit-roasting	roasting	spit-roasting		 A roasting process in which food is rotated on a spit.												
1	FOODON:03000573	NTR	spit-roasted	roasted	spit-roasted		A characteristic of roasted food which indicates that it has undergone a spit-roasting process.												
2	FOODON:03000574	NTR	food (spit-roasted)	food (roasted)	food (spit-roasted)		Food material which has been spit-roasted.												
3	FOODON:03000575	NTR	oil-roasting	roasting	oil-roasting		A roasting process in which food material is basted in oil.	https://www.nutsforlife.com.au/resource/how-are-nuts-roasted-and-in-what-type-of-oil/											
1	FOODON:03000576	NTR	oil-roasted	roasted	oil-roasted		A characteristic of roasted food which indicates that it has undergone oil-roasting process.												
2	FOODON:03000577	NTR	food (oil-roasted)	food (roasted)	food (oil-roasted)		Food material which has been oil-roasted.												
3	FOODON:03000578	NTR	dry-roasting	roasting	dry-roasting		A roasting process that occurs without the use of added oil or liquid.												
1	FOODON:03000579	NTR	dry-roasted	roasted	dry-roasted		A characteristic of roasted food which indicates that it has undergone a dry-roasting process.												
2	FOODON:03000580	NTR	food (dry-roasted)	food (roasted)	food (dry-roasted)		Food material which has been oil-roasted.												
3	FOODON:03450012		cooking by moist heat	food cooking by heating	cooking by moist heat		Cooking in varying amounts of water, water-based liquid or steam.		LanguaL curation note: If the food absorbs a significant amount of water, also used *REHYDRATED* or *WATER ADDED*.										
3	FOODON:03450011		cooking by microwave	food cooking by heating	cooking by microwave		Cooking in a microwave oven.												
2	FOODON:03000581	NTR	food (microwaved)	food material by characteristic	food (microwaved)		Food material which has undergone cooking by microwave.			food (boiled)									
1	FOODON:03000582	NTR	microwaved (sensu food)	food characteristic	microwaved (sensu food)	☑	A characteristic of food material which has been microwaved.												
																			
3	FOODON:03450013		cooking in water or water-based liquid	cooking by moist heat	cooking in water or water-based liquid		A process of cooking by moist heat which is effected by hot water or water-based liquid in a container.												
3	FOODON:03450014		boiling in container	cooking in water or water-based liquid	boiling in container		A cooking in water or water-based liquid process in which the liquid is boiling.		Water at standard atmospheric pressure (in other words, at sea level) will boil at a temperature of 100 degrees C (212 degrees F).										
3	FOODON:03450015		boiling and then draining	boiling in container	boiling and then draining		A boiling in container process which concludes with draining liquid as a separate output.												
3	FOODON:03450016		boiling in large amount of liquid	boiling in container	boiling in large amount of liquid		A boiling in container process involving a liquid to solid ratio greater than 2:1.												
3	FOODON:03450017		boiling in small amount of liquid	boiling in container	boiling in small amount of liquid		A boiling in container process involving a liquid to solid ratio less than or equal to 2:1.												
3	FOODON:03450018		boiling without draining	boiling in container	boiling without draining		A boiling in container process which concludes with the liquid partly or fully incorporated into the food material being cooked.												
3	FOODON:03450019		braising	cooking in water or water-based liquid	braising		Browned initially in fat or oil and then tightly covered and cooked over low heat in a small amount of water.												
2	FOODON:03000583	NTR	food (braised)	food material by characteristic	food (braised)		Food material which has undergone braising.												
1	FOODON:03000584	NTR	braised	food characteristic	braised	☑	A characteristic of food material which indicates that it has undergone braising.										https://orcid.org/0000-0002-8844-9165		
3	FOODON:03450020		simmering	cooking in water or water-based liquid	simmering		Cooking in a moderate amount of liquid at just below the liquid's boiling point.												
2	FOODON:03000585	NTR	food (simmered)	food material by characteristic	food (simmered)		Food material which has undergone simmering.												
1	FOODON:03000586	NTR	simmered	food characteristic	simmered	☑	A characteristic of food material which indicates that it has undergone simmering.												
3	FOODON:00002648		food scalding	cooking in water or water-based liquid	food scalding		A method of precooking food where a liquid is heated to just below the boiling point.		Often used to retard the spoiling of milk.								https://orcid.org/0000-0002-8844-9165		
3	FOODON:03470150		sous vide cooking	cooking in water or water-based liquid	sous vide cooking		A food cooking method that is intended to maintain the integrity of food material by heating it for an extended period of time in an immersed vacuum sealed plastic pouch at relatively low temperature.	http://en.wikipedia.org/wiki/Sous-vide											
3	FOODON:03450021		cooking in steam	cooking by moist heat	cooking in steam		Cooked in a container containing steam.												
3	FOODON:03450022		steaming with pressure	cooking in steam	steaming with pressure		Cooked in a pressure cooker.												
3	FOODON:03450023		steaming without pressure	cooking in steam	steaming without pressure		Cooked suspended above boiling water.												
2	FOODON:00002657		food (steamed)	food (cooked)	food (steamed)		Food material which has undergone steaming.												
1	FOODON:03000587	NTR	steamed	cooked	steamed	☑	A characteristic of cooked food material which has been steamed.												
																			
3	FOODON:03450024		cooking with fat or oil	food cooking	cooking with fat or oil		A food cooking method that subjects the food to full or partial immersion in hot oil as the medium for heat transfer.												
1	FOODON:03000588	NTR	cooked with fat or oil	cooked	cooked with fat or oil	cooked with oil	A characteristic of food material which indicated that is has undergone cooking with  fat or oil.		Note that fat turns into oil after a certain temperature, so this covers both fat and oil cases.										
2	FOODON:03000589	NTR	food (cooked with fat or oil)	food (cooked)	food (cooked with fat or oil)		Food material that has undergone cooking with a small amount of fat or oil.												
3	FOODON:03450025		cooking with added fat or oil	cooking with fat or oil	cooking with added fat or oil		Cooked by adding fat or oil to those foods that do not contain fat or oil that would render during the cooking process.												
2	FOODON:03000590	NTR	food (cooked with added fat or oil)	food (cooked)	food (cooked with added fat or oil)		Food material that has undergone cooking with added fat or oil.												
1	FOODON:03000591	NTR	cooked with added fat or oil	cooked with fat or oil	cooked with added fat or oil		A characteristic of food material which indicated that is has undergone cooking with oil or fat other than its own.												
3	FOODON:03450026		cooking in small amount of fat or oil	cooking with added fat or oil	cooking in small amount of fat or oil		Cooked with sufficient fat or oil to coat and moisten the food being prepared, but not cooked in enough fat or oil to immerse the food.		Use *griddle cooking* when only enough fat or oil is used to prevent sticking.								http://purl.obolibrary.org/obo/FOODON:03450008		
2	FOODON:03000592	NTR	food (cooked with smalls amounts of fat or oil)	food (cooked with fat or oil)	food (cooked with smalls amounts of fat or oil)		Food material that has undergone cooking with small amounts of added fat or oil.												
1	FOODON:03000593	NTR	cooked with small amounts of added fat or oil	cooked with fat or oil	cooked with small amounts of added fat or oil		A characteristic of food material which indicated that is has undergone cooking with small amounts of oil or fat added.												
3	FOODON:03450027		sautéing	cooking in small amount of fat or oil	sautéing		Cooking in a very small amount of very hot fat, turning and browning the food on all sides.		Not committing to water or oil/fat.  Modern def!  Get sources... https://www.lecreuset.ca/en_CA/glossary/Saut%C3%A9ing.html 					food (sautéed)					
2	FOODON:03000594	NTR	food (sautéed)	food (cooked with smalls amounts of fat or oil)	food (sautéed)		Food material that has undergone sautéing.												
1	FOODON:03000595	NTR	sautéed	cooked with small amounts of added fat or oil	sautéed	☑	A characteristic of food material which indicates that it has undergone sautéing.												
3	FOODON:03450028		stir-frying	cooking in small amount of fat or oil	stir-frying		Cooked by frying foods quickly over high heat, stirring constantly. Only enough cooking oil is used to coat the bottom of the pan.												
2	FOODON:03000596	NTR	food (stir-fried)	food (cooked with smalls amounts of fat or oil)	food (stir-fried)		Food material that has undergone stir-frying.												
1	FOODON:03000597	NTR	stir-fried	cooked with small amounts of added fat or oil	stir-fried	☑	A characteristic of food material which indicates that it has undergone stir-frying.												
3	FOODON:03450029		deep-frying	cooking with added fat or oil	deep-frying		Cooked in hot fat or oil deep enough to immerse the food entirely.							food (deep-fried)					
2	FOODON:03000598	NTR	food (deep-fried)	food (cooked with added fat or oil)	food (deep-fried)		Food material that has undegone deep-frying.												
1	FOODON:03000599	NTR	deep-fried	cooked with added fat or oil	deep-fried	☑	A characteristic of food material which indicates that it has undergone deep frying.												
3	FOODON:03000600	NTR	pan-frying	cooking with added fat or oil	pan-frying		Cooked with small amounts of added oil or fat in a hot pan.												
2	FOODON:03000601	NTR	food (pan fried)	food (cooked with fat or oil)	food (pan fried)		Food material that has undergone pan-frying.												
1	FOODON:03000602	NTR	pan-fried	cooked with fat or oil	pan-fried	☑	A characteristic of food material which indicates that it has undergone pan frying.												
3	FOODON:00002462		shallow frying	cooking in small amount of fat or oil	shallow frying				Needs definition					food (fried)			https://orcid.org/0000-0002-8844-9165		
3	FOODON:03450035		shallow frying (sensu chinese cooking)	cooking with added fat or oil	shallow frying (sensu chinese cooking)		A chinese cooking technique similar to sauteing in which thick slices or chunks of floured or battered ingredients are slow seared over moderate to low heat.	https://openlibrary.org/books/OL4538013M/The_key_to_Chinese_cooking											
3	FOODON:03000603	NTR	partially fried process	cooking with added fat or oil	partially fried process		Cooked in oil or fat for a shorter time than required for complete coooking.												
2	FOODON:03000604	NTR	food (partially fried)	food (cooked with added fat or oil)	food (partially fried)		Food material that has undergone partial frying.												
1	FOODON:03000605	NTR	partially fried	cooked with added fat or oil	partially fried	☑	A characteristic of food material which indicates that it has undergone partial frying.												
3	FOODON:03000606	NTR	refrying	cooking with added fat or oil	refrying		Fried after previously being cooked, often with added ingredients.												
2	FOODON:03000607	NTR	food (refried)	food (cooked with added fat or oil)	food (refried)		Food material that has undergone refrying.												
1	FOODON:03000608	NTR	refried	cooked with added fat or oil	refried	☑	A characteristic of food material which indicates that it has undergone refrying.												
3	FOODON:03000609	NTR	pan-broiled process	cooking in small amount of fat or oil	pan-broiled process		Cooked with a small amount of fat or oil in a pan and subjected to a high heat, resulting in a crispy exterior and a tender interior.												
2	FOODON:03000610	NTR	food (pan broiled)	food (cooked with smalls amounts of fat or oil)	food (pan broiled)		Food material that has undergone pan-broiling.												
