type	Ontology ID	NTR	label	parent	term	MIFC	definition	definition source	comment	example of use	EquivalentTo	SubClassOf	has specified input	has specified output	has characteristic	see also IRI	term contributor	curation status	created
3	FOODON:03000713		microorganism growth retardation	microorganism control	microorganism growth retardation		A microorganism control process in which microorganism cell viability is reduced.												
3	FOODON:03000714		microorganism killing	microorganism control	microorganism killing		A microorganism control process in which microorganisms are destroyed.		If food material is involved, we could infer this is a subclass of food preservation.										
3	FOODON:03000494	NTR	sterilization	microorganism killing	sterilization		A microorganism killing process in which all microorganisms are destroyed in an input material.		If food material is involved, we could infer instances of this is a subclass of food preservation.										
1	FOODON:03460279	NTR	sterile (sensu material)	quality of a substance	sterile (sensu material)		A characteristic of a material entity indicating that it has undergone sterilization.		"DIFFERENT: PATO Sterile refers to bearer's ability to reproduce:"" A fertility quality inhering in a bearer by virtue of the bearer's being incapable of initiating, sustaining, or supporting reproduction."										
2	FOODON:03460281		sterile material	material entity	sterile material		A material entity which is sterile.												
2	FOODON:03000495	NTR	food (sterile)	food material by characteristic	food (sterile)		Food material which is sterile.												
3	FOODON:03000496	NTR	microorganism removal	food microorganism control|food preservation	microorganism removal		A food microorganism control process in which food microorganisms are removed from food material.												
3	OBI:0302885		filtration	material component separation	filtration		filtration is a process which separates components suspended in a fluid based on granularity properties relying on a filter device.												
3	FOODON:03470121		microorganism filtration	filtration|microorganism removal	microorganism filtration		A filtration process which removes microorganisms from an input material.												
3	FOODON:03470177		microorganism micro-filtration	microorganism filtration	microorganism micro-filtration		A microorganism filtration process that consists of separating components by using semipermeable membranes with pore sizes between 0.1 and 10 micrometers to remove suspended particles or microorganisms from a fluid.												
3	FOODON:03470157		microorganism ultra-filtration	microorganism filtration	microorganism ultra-filtration		A microorganism filtration process that consists of separating particles from a fluid using a semipermeable membrane with pores of 1-100 nanometers.		Some dairy product are ultrafiltrated in order to obtain a higher protein concentration and hereby, a thicker consistency or textture. LanguaL curation note: Used when a product is preservation by the use of ultra-filtration to remove undesirable micro organisms and molecules. Example: beer.										
3	FOODON:03470160		ultra high pressure sterilization	sterilization|food preservation	ultra high pressure sterilization		The process of holding food at a high pressure, normally greater than 1000 bar, which leads to sterilization. Example: Fruit juice, jam.												https://orcid.org/0000-0002-8844-9165
