DISABLED	ID	parent class	label	Equivalence axiom	Animal (top level class) Equivalence	Subclass axiom	definition	comment	definition source	Exact Synonym	Broad Synonym	created	term contributor	see also	curation status	image	Curation notes	Minimum	Aves	Bovidae	Suina	Cervidae	Camelidae	Giraffoidea	Hippopotamidae	Cetacea	Ursidae	Canidae	Felidae	Pinnipedia	Musteloidea	Perissodactyla	Diprotodontia	Rodentia	Lagomorpha	Chiroptera	Eulipotyphla	Primates	Home sapiens		Bivalvia	Cephalopoda	Gastropoda	Reptilia	Echinodermata	Amphibian		Chelicerata	Crustacea	Hexapoda	Other
	FOODON:02010022	{animal} piece	{animal} processed carcass			'derives from' some '{animal} carcass'	A {animal} carcass that has been processed to some degree.			dead animal		2023-08-01T21:25:29Z			ready for release				chicken																																
	FOODON:02010023	{animal} processed carcass	{animal} processed carcass (raw)	'{animal} processed carcass' and 'has quality' some 'raw'			A {animal} carcass that is raw.					2023-08-01T21:25:29Z			ready for release				chicken																																
	FOODON:02010024	{animal} processed carcass (raw)	{animal} processed carcass (raw, skinless)	'{animal} processed carcass (raw)' and not ('has part' some ('derives from' some 'skin of body')) 			A raw {animal} carcass that has been skinned.	For a carcass with skin, use "animal carcass"				2023-08-01T21:25:29Z			ready for release				chicken																																
	FOODON:02010025	{animal} processed carcass	{animal} processed carcass (butchered)				A {animal} carcass that is eviscerated and cleaned.					2023-08-01T21:25:29Z			ready for release				chicken																																
	FOODON:02010026	{animal} processed carcass	{animal} processed carcass (gutted)				A {animal} carcass which is gutted.					2023-08-01T21:25:29Z			ready for release				chicken																																
	FOODON:00004332	{animal} material	{animal} piece			'derives from' some '{animal}'	A severed part of an {animal} that is not a body product.					2023-08-01T21:25:29Z			ready for release			TRUE	ALL	antelope|beef	ALL																														
	FOODON:02010027	{animal} piece	{animal} piece (raw)	'{animal} piece' and 'has quality' some 'raw'			A {animal} piece that is raw.					2023-08-01T21:25:29Z			ready for release				chicken																																
	FOODON:02010028	{animal} piece	{animal} piece (with skin)	'{animal} piece' and 'has part' some ('derives from' some 'skin of body')			A {animal} piece that still contains the skin.					2023-08-01T21:25:29Z			ready for release				chicken																																
	FOODON:02010029	{animal} piece	{animal} piece (skinless)	'{animal} piece' and not ('has part' some ('derives from' some 'skin of body'))			A {animal} piece that is skinless.					2023-08-01T21:25:29Z			ready for release				chicken																																
	FOODON:02010030	{animal} piece (with skin)	{animal} piece (with skin, raw)	'{animal} piece (with skin)' and 'has quality' some 'raw'			A {animal} piece that contains the skin and is raw.					2023-08-01T21:25:29Z			ready for release				chicken																																
	FOODON:02010031	{animal} piece (skinless)	{animal} piece (skinless, raw)	'{animal} piece (skinless)' and 'has quality' some 'raw'			A {animal} piece that is skinless and raw.					2023-08-01T21:25:29Z			ready for release				chicken																																
	FOODON:02010032	{animal} piece	{animal} muscle tissue cut	'animal muscle tissue cut' and 'derives from' some '{animal}'	'animal piece' and 'derives from' some 'muscle tissue'		A muscle tissue cut that is derived from some {animal}.					2023-08-01T21:25:29Z			ready for release				chicken																																
	FOODON:02010033	{animal} piece	{animal} fat	'animal fat' and 'derives from' some '{animal}'	'animal piece' and 'derives from' some 'adipose tissue'		Fat derived from some {animal}.					2023-08-01T21:25:29Z			ready for release				chicken																																
	FOODON:02010034	{animal} fat	{animal} external fat				{animal} fat that is found around the outside of muscle of a meat cut.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010035	{animal} fat	{animal} seam fat				{animal} fat that is found between the muscle of a meat cut.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010036	{animal} fat	{animal} fat (raw)	'{animal} fat' and 'has quality' some 'raw'			{animal} fat that is raw.					2023-08-01T21:25:29Z			ready for release																																				
