DISABLED	ID	parent class	label	Equivalence axiom	Animal (top level class) Equivalence	Subclass axiom	definition	comment	definition source	Exact Synonym	Broad Synonym	created	term contributor	see also	curation status	image	Curation notes	Minimum	Aves	Bovidae	Suina	Cervidae	Camelidae	Giraffoidea	Hippopotamidae	Cetacea	Ursidae	Canidae	Felidae	Pinnipedia	Musteloidea	Perissodactyla	Diprotodontia	Rodentia	Lagomorpha	Chiroptera	Eulipotyphla	Primates	Home sapiens		Bivalvia	Cephalopoda	Gastropoda	Reptilia	Echinodermata	Amphibian		Chelicerata	Crustacea	Hexapoda	Other
	FOODON:02010110	piece of {animal} meat (skinless)	piece of {animal} meat (skinless, raw)	'piece of {animal} meat (skinless)' and 'has quality' some 'raw'			A piece of {animal} meat that is skinless and raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010111	piece of {animal} meat	piece of {animal} meat (with skin)	'piece of {animal} meat' and 'has part' some ('derives from' some 'skin of body')			A piece of {animal} meat that contains the skin.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010112	piece of {animal} meat (with skin)	piece of {animal} meat (with skin, raw)	'piece of {animal} meat (with skin)' and 'has quality' some 'raw'			A piece of {animal} meat that is raw and still contains the skin.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010113	piece of {animal} meat	piece of {animal} meat (boneless)	'piece of {animal} meat' and not ('has part' some ('derives from' some 'bone element'))			A piece of {animal} meat that is boneless.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010114	piece of {animal} meat (boneless)	piece of {animal} meat (cubed)				A piece of boneless {animal} meat that has a cubic shape.	Cubed meat should be free from bones, cartilage, lymph glands, and most or all connective tissue and fat.				2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010115	piece of {animal} meat (cubed)	piece of {animal} meat (cubed, raw)	'piece of {animal} meat (cubed)' and 'has quality' some 'raw'			A cubic piece of {animal} meat that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010116	piece of {animal} meat	piece of {animal} meat (with bone)	'piece of {animal} meat' and 'has part' some ('derives from' some 'bone element')			A piece of {animal} meat that contains bone material.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010117	piece of {animal} meat (with bone)	piece of {animal} meat (with bone, raw)	'piece of {animal} meat (with bone)' and 'has quality' some 'raw'			A piece of raw {animal} meat that contains bone material.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010118	piece of {animal} meat (boneless)	piece of {animal} meat (deboned)	'piece of {animal} meat (boneless)' and 'is_specified_output_of' some 'deboning process'			A piece of {animal} meat that is deboned.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010119	piece of {animal} meat (deboned)	piece of {animal} meat (mechanically deboned)				A piece of {animal} meat that is mechanically deboned by forcing bones, with attached edible meat, under high pressure through a sieve or similar device to separate the bone from the edible meat tissue.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010120	piece of {animal} meat (mechanically deboned)	piece of {animal} meat (mechanically deboned, raw)	'piece of {animal} meat (mechanically deboned)' and 'has quality' some 'raw'			A piece of raw {animal} meat that is mechanically deboned.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010121	piece of {animal} meat (mechanically deboned)	piece of {animal} meat (mechanically deboned, with skin, raw)									2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010122	piece of {animal} meat (mechanically deboned)	piece of {animal} meat (mechanically deboned, skinless, raw)									2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010123	piece of {animal} meat	{animal} thigh	'animal thigh' and 'derives from' some '{animal}'	'piece of animal meat' and 'derives from' some 'hindlimb stylopod'		A whole thigh that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010124	piece of {animal} meat	{animal} breast	'animal breast' and 'derives from' some '{animal}'	'piece of animal meat' and 'derives from' some 'pectoral muscle'		A whole breast that derives from an {animal}.			pectoral muscle		2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010125	piece of {animal} meat	{animal} drumstick	'animal drumstick' and 'derives from' some '{animal}'	'piece of animal meat' and 'derives from' some 'hindlimb zeugopod'		A whole drumstick that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010126	piece of {animal} meat	{animal} wing	'animal wing' and 'derives from' some '{animal}'	'piece of animal meat' and 'derives from' some 'wing'		A whole wing that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010127	piece of {animal} meat	{animal} foot	'animal foot' and 'derives from' some '{animal}'	'piece of animal meat' and 'derives from' some 'pes'		A whole foot that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release						pig																														
	FOODON:02010128	piece of {animal} meat	{animal} neck	'animal neck' and 'derives from' some '{animal}'	'piece of animal meat' and 'derives from' some 'neck'		A whole neck that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010129	piece of {animal} meat	{animal} back	'animal back' and 'derives from' some '{animal}'	'piece of animal meat' and 'derives from' some 'dorsum'		A whole back that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010130	piece of {animal} meat	{animal} leg	'animal leg' and 'derives from' some '{animal}'	'piece of animal meat' and 'derives from' some 'leg'		A whole leg that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010131	piece of {animal} meat	{animal} ruminant reticulum	'animal ruminant reticulum' and 'derives from' some '{animal}'	'piece of animal meat' and 'derives from' some 'ruminant reticulum'		A whole ruminant reticulum that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010132	piece of {animal} meat	{animal} rumen	'animal rumen' and 'derives from' some '{animal}'	'piece of animal meat' and 'derives from' some 'rumen'		A whole rumen that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010133	piece of {animal} meat	{animal} oviduct	'animal oviduct' and 'derives from' some '{animal}'	'piece of animal meat' and 'derives from' some 'oviduct'		A whole oviduct that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010134	piece of {animal} meat	{animal} trachea	'animal trachea' and 'derives from' some '{animal}'	'piece of animal meat' and 'derives from' some 'trachea'		A whole trachea that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010135	piece of {animal} meat	{animal} parotid gland	'animal parotid gland' and 'derives from' some '{animal}'	'piece of animal meat' and 'derives from' some 'parotid gland'		A whole parotid gland that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010136	piece of {animal} meat	{animal} sublingual gland	'animal sublingual gland' and 'derives from' some '{animal}'	'piece of animal meat' and 'derives from' some 'sublingual gland'		A whole sublingual gland that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010137	piece of {animal} meat	{animal} tail	'animal tail' and 'derives from' some '{animal}'	'piece of animal meat' and 'derives from' some 'tail'		A whole tail that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010138	{animal} thigh 	{animal} thigh (raw)	'{animal} thigh' and 'has quality' some 'raw'			A whole raw thigh that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010139	{animal} breast 	{animal} breast (raw)	'{animal} breast' and 'has quality' some 'raw'			A whole raw {animal} breast.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010140	{animal} drumstick 	{animal} drumstick (raw)	'{animal} drumstick' and 'has quality' some 'raw'			A whole raw {animal} drumstick.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010141	{animal} wing 	{animal} wing (raw)	'{animal} wing' and 'has quality' some 'raw'			A whole raw {animal} wing.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010142	{animal} foot 	{animal} foot (raw)	'{animal} foot' and 'has quality' some 'raw'			A whole raw {animal} foot.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010143	{animal} neck 	{animal} neck (raw)	'{animal} neck' and 'has quality' some 'raw'			A whole raw {animal} neck.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010144	{animal} back 	{animal} back (raw)	'{animal} back' and 'has quality' some 'raw'			A whole raw {animal} back.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010145	{animal} leg 	{animal} leg (raw)	'{animal} leg' and 'has quality' some 'raw'			A whole raw {animal} leg.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010146	{animal} ruminant reticulum 	{animal} ruminant reticulum (raw)	'{animal} ruminant reticulum' and 'has quality' some 'raw'			A whole raw {animal} ruminant reticulum.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010147	{animal} rumen 	{animal} rumen (raw)	'{animal} rumen' and 'has quality' some 'raw'			A whole raw {animal} rumen leg.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010148	{animal} oviduct 	{animal} oviduct (raw)	'{animal} oviduct' and 'has quality' some 'raw'			A whole raw {animal} oviduct leg.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010149	{animal} trachea 	{animal} trachea (raw)	'{animal} trachea' and 'has quality' some 'raw'			A whole raw {animal} trachea.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010150	{animal} parotid gland 	{animal} parotid gland (raw)	'{animal} parotid gland' and 'has quality' some 'raw'			A whole raw {animal} parotid gland.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010151	{animal} sublingual gland 	{animal} sublingual gland (raw)	'{animal} sublingual gland' and 'has quality' some 'raw'			A whole raw {animal} sublingual gland.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010152	{animal} tail 	{animal} tail (raw)	'{animal} tail' and 'has quality' some 'raw'			A whole raw {animal} tail.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010153	{animal} thigh 	{animal} thigh (skinless)	'{animal} thigh' and not ('has part' some ('derives from' some 'skin of body'))			A {animal} thigh that is skinless.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010154	{animal} thigh (skinless)	{animal} thigh (skinless, with bone)	'{animal} thigh (skinless)' and 'has part' some ('derives from' some 'bone element')			A {animal} thigh that is skinless and contains bone material.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010155	{animal} thigh	{animal} thigh (with skin)	'{animal} thigh' and 'has part' some ('derives from' some 'skin of body')			A {animal} thigh that contains skin.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010156	{animal} thigh (with skin)	{animal} thigh (with skin, with bone)	'{animal} thigh (with skin)' and 'has part' some ('derives from' some 'bone element')			A {animal} thigh that contains skin and bone material.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010157	piece of {animal} meat	piece of {animal} thigh	'piece of animal thigh' and 'derives from' some '{animal} thigh'	'piece of dark animal meat' and 'derives from' some 'animal thigh'		A piece of thigh that derives from an {animal} thigh.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010158	piece of {animal} meat	piece of {animal} breast	'piece of animal breast' and 'derives from' some '{animal} breast'	'piece of light animal meat' and 'derives from' some 'pectoral muscle'		A piece of breast (pectoral muscle) that derives from an {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010159	piece of {animal} meat	piece of {animal} drumstick	'piece of animal drumstick' and 'derives from' some '{animal} drumstick'	'piece of dark animal meat' and 'derives from' some 'animal drumstick'		A piece of drumstick that derives from an {animal} drumstick. 					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010160	piece of {animal} meat	piece of {animal} wing	'piece of animal wing' and 'derives from' some '{animal} wing'	'piece of animal meat' and 'derives from' some 'animal wing'		A piece of wing that derives from an {animal} wing.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010161	piece of {animal} meat	piece of {animal} neck	'piece of animal neck' and 'derives from' some '{animal} neck'	'piece of animal meat' and 'derives from' some 'animal neck'		A piece of neck that derives from an {animal} neck.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010162	piece of {animal} meat	piece of {animal} back	'piece of animal back' and 'derives from' some '{animal} back'	'piece of animal meat' and 'derives from' some 'animal back'		A piece of back that derives from an {animal} back.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010163	piece of {animal} meat	piece of {animal} leg	'piece of animal leg' and 'derives from' some '{animal} leg'	'piece of animal meat' and 'derives from' some 'animal leg'		A piece of leg that derives from an {animal} leg.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010164	piece of {animal} thigh	piece of {animal} thigh (raw)	'piece of {animal} thigh' and 'has quality' some 'raw'			A piece of {animal} thigh that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010165	piece of {animal} breast	piece of {animal} breast (raw)	'piece of {animal} breast' and 'has quality' some 'raw'			A piece of {animal} breast that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010166	piece of {animal} drumstick	piece of {animal} drumstick (raw)	'piece of {animal} drumstick' and 'has quality' some 'raw'			A piece of {animal} drumstick that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010167	piece of {animal} wing	piece of {animal} wing (raw)	'piece of {animal} wing' and 'has quality' some 'raw'			A piece of {animal} wing that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010168	piece of {animal} neck	piece of {animal} neck (raw)	'piece of {animal} neck' and 'has quality' some 'raw'			A piece of {animal} neck that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010169	piece of {animal} back	piece of {animal} back (raw)	'piece of {animal} back' and 'has quality' some 'raw'			A piece of {animal} back that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010170	piece of {animal} leg	piece of {animal} leg (raw)	'piece of {animal} leg' and 'has quality' some 'raw'			A piece of {animal} leg that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010171	piece of {animal} leg	piece of {animal} leg (cubed)	'piece of {animal} leg' and 'has quality' some 'cubed'			A piece of {animal} leg that is cubed.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010172	piece of {animal} leg (cubed)	piece of {animal} leg (cubed, raw)	'piece of {animal} leg (cubed)' and 'has quality' some 'raw'			A piece of {animal} leg that is cubed and raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010173	piece of {animal} leg 	piece of {animal} leg (with skin)	'piece of {animal} leg' and 'has part' some ('derives from' some 'skin of body')			A piece of {animal} leg that contains skin.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010174	piece of {animal} leg (with skin)	piece of {animal} leg (with skin, raw)	'piece of {animal} leg (with skin)' and 'has quality' some 'raw'			A piece of {animal} leg that contains skin and is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010175	piece of {animal} leg 	piece of {animal} leg (skinless)	'piece of {animal} leg' and not ('has part' some ('derives from' some 'skin of body'))			A piece of {animal} leg that is skinless.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010176	piece of {animal} leg (skinless)	piece of {animal} leg (skinless, raw)	'piece of {animal} leg (skinless)' and 'has quality' some 'raw'			A piece of {animal} leg that is skinless and raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010177	piece of {animal} drumstick 	piece of {animal} drumstick (with skin)	'piece of {animal} drumstick' and 'has part' some ('derives from' some 'skin of body')			A piece of {animal} drumstick that contains skin.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010178	piece of {animal} drumstick (with skin)	piece of {animal} drumstick (with skin, raw)	'piece of {animal} drumstick (with skin)' and 'has quality' some 'raw'			A piece of {animal} drumstick that contains skin and is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010179	piece of {animal} drumstick 	piece of {animal} drumstick (skinless)	'piece of {animal} drumstick' and not ('has part' some ('derives from' some 'skin of body'))			A piece of {animal} drumstick that is skinless.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010180	piece of {animal} drumstick (skinless)	piece of {animal} drumstick (skinless, raw)	'piece of {animal} drumstick (skinless)' and 'has quality' some 'raw'			A piece of {animal} drumstick that is skinless and raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010181	piece of {animal} back 	piece of {animal} back (skinless)	'piece of {animal} back' and not ('has part' some ('derives from' some 'skin of body'))			A piece of {animal} back that is skinless.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010182	piece of {animal} back (skinless)	piece of {animal} back (skinless, raw)	'piece of {animal} back (skinless)' and 'has quality' some 'raw'			A piece of {animal} back that is skinlessa and raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010183	piece of {animal} back 	piece of {animal} back (with skin)	'piece of {animal} back' and 'has part' some ('derives from' some 'skin of body')			A piece of {animal} back that contains skin.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010184	piece of {animal} back (with skin)	piece of {animal} back (with skin, raw)	'piece of {animal} back (with skin)' and 'has quality' some 'raw'			A piece of {animal} back that contains skin and is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010185	piece of {animal} breast 	piece of {animal} breast (skinless)	'piece of {animal} breast' and not ('has part' some ('derives from' some 'skin of body'))			A piece of {animal} breast that is skinless.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010186	piece of {animal} breast (skinless)	piece of {animal} breast (skinless, raw)	'piece of {animal} breast (skinless)' and 'has quality' some 'raw'			A piece of {animal} breast that is skinless and raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010187	piece of {animal} breast 	piece of {animal} breast (with skin)	'piece of {animal} breast' and 'has part' some ('derives from' some 'skin of body')			A piece of {animal} breast that contains skin.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010188	piece of {animal} breast (with skin)	piece of {animal} breast (with skin, raw)	'piece of {animal} breast (with skin)' and 'has quality' some 'raw'			A piece of {animal} breast that contains skin and is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010189	piece of {animal} breast (skinless)	piece of {animal} breast (skinless, boneless)	'piece(s) of {animal} breast (skinless)' and not ('has part' some ('derives from' some 'bone element')) 			A piece of {animal} breast that is skinless and boneless.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010190	piece of {animal} breast (skinless, boneless)	piece of {animal} breast (skinless, boneless, raw)	'piece of {animal} breast (skinless, boneless)' and 'has quality' some 'raw'			A piece of {animal} breast that is skinless, boneless and raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010191	piece of {animal} neck 	piece of {animal} neck (with skin)	'piece of {animal} neck' and 'has part' some ('derives from' some 'skin of body')			A piece of {animal} neck that contains skin.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010192	piece of {animal} neck (with skin)	piece of {animal} neck (with skin, raw)	'piece of {animal} neck (with skin)' and 'has quality' some 'raw'			A piece of {animal} neck that contains skin and is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010193	piece of {animal} neck 	piece of {animal} neck (skinless)	'piece of {animal} neck' and not ('has part' some ('derives from' some 'skin of body'))			A piece of {animal} neck that is skinless.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010194	piece of {animal} neck (skinless)	piece of {animal} neck (skinless, raw)	'piece of {animal} neck (skinless)' and 'has quality' some 'raw'			A piece of {animal} neck that is skinless and raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010195	piece of {animal} thigh 	piece of {animal} thigh (with skin)	'piece of {animal} thigh' and 'has part' some ('derives from' some 'skin of body')			A piece of {animal} thigh that contains skin.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010196	piece of {animal} thigh (with skin)	piece of {animal} thigh (with skin, raw)	'piece of {animal} thigh (with skin)' and 'has quality' some 'raw'			A piece of {animal} thigh that contains skin and is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010197	piece of {animal} thigh 	piece of {animal} thigh (skinless)	'piece of {animal} thigh' and not ('has part' some ('derives from' some 'skin of body'))			A piece of {animal} thigh that is skinless.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010198	piece of {animal} thigh (skinless)	piece of {animal} thigh (skinless, raw)	'piece of {animal} thigh (skinless)' and 'has quality' some 'raw'			A piece of {animal} thigh that is skinless and raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010199	piece of {animal} wing 	piece of {animal} wing (with skin)	'piece of {animal} wing' and 'has part' some ('derives from' some 'skin of body')			A piece of {animal} wing that contains skin.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010200	piece of {animal} wing (with skin)	piece of {animal} wing (with skin, raw)	'piece of {animal} wing (with skin)' and 'has quality' some 'raw'			A piece of {animal} wing that contains skin and is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010201	piece of {animal} wing 	piece of {animal} wing (skinless)	'piece of {animal} wing' and not ('has part' some ('derives from' some 'skin of body'))			A piece of {animal} wing that is skinless.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010202	piece of {animal} wing (skinless)	piece of {animal} wing (skinless, raw)	'piece of {animal} wing (skinless)' and 'has quality' some 'raw'			A piece of {animal} wing that is skinless and raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010203	piece of {animal} meat	piece of dark {animal} meat				A piece of meat that comes from a {animal} drumstick, thigh or leg. 					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010204	piece of dark {animal} meat	piece of dark {animal} meat (raw)	'piece of dark {animal} meat' and 'has quality' some 'raw'			A piece of dark {animal} meat that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010205	piece of dark {animal} meat	piece of dark {animal} meat (with skin)	'piece of dark {animal} meat' and 'has part' some ('derives from' some 'skin of body')			A piece of dark {animal} meat that contains skin.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010206	piece of {animal} meat (with skin)	piece of dark {animal} meat (with skin, raw)	'piece of dark {animal} meat (with skin)' and 'has quality' some 'raw'			A piece of dark {animal} meat contains skin and is raw,.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010207	piece of dark {animal} meat	piece of dark {animal} meat (skinless)	'piece of dark {animal} meat' and not ('has part' some ('derives from' some 'skin of body'))			A piece of dark {animal} meat that is skinless.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010208	piece of dark {animal} meat (skinless)	piece of dark {animal} meat (skinless, raw)	'piece of dark {animal} meat (skinless)' and 'has quality' some 'raw'			A piece of dark {animal} meat that is skinless and raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010209	piece of {animal} meat	piece of light {animal} meat				A piece light meat that comes from a {animal} breast or wing.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010210	piece of light {animal} meat	piece of light {animal} meat (raw)	'piece of light {animal} meat' and 'has quality' some 'raw'			A piece of light {animal} meat that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010211	piece of light {animal} meat	piece of light {animal} meat (with skin)	'piece of light {animal} meat' and 'has part' some ('derives from' some 'skin of body')			A piece of light {animal} meat that contains skin.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010212	piece of light {animal} meat (with skin)	piece of light {animal} meat (with skin, raw)	'piece of light {animal} meat (with skin)' and 'has quality' some 'raw'			A piece of light {animal} meat that contains skin and is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010213	piece of light {animal} meat	piece of light {animal} meat (skinless)	'piece of light {animal} meat' and not ('has part' some ('derives from' some 'skin of body'))			A piece of light {animal} meat that is skinless.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010214	piece of light {animal} meat (skinless)	piece of light {animal} meat (skinless, raw)	'piece of light {animal} meat (skinless)' and 'has quality' some 'raw'			A piece of light {animal} meat that is skinless and raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:00004335	{animal} material	{animal} piece(s)	'has member' some '{animal} piece' and 'has member' only '{animal} piece'			One or more {animal} pieces.					2023-08-01T21:25:29Z			ready for release			TRUE	ALL	antelope|beef	ALL																														
	FOODON:02010215	{animal} piece(s)	piece(s) of {animal} skin	'has member' some 'piece of {animal} skin' and 'has member' only 'piece of {animal} skin'			One or more pieces of {animal} skin.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010216	{animal} piece(s)	piece(s) of {animal} meat	'has member' some 'piece of {animal} meat' and 'has member' only 'piece of {animal} meat'			One or more pieces of {animal} meat.			{animal} meat		2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010217	piece(s) of {animal} meat	piece(s) of {animal} meat (raw)	'piece(s) of {animal} meat' and 'has quality' some 'raw'			One or more pieces of {animal} meat that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010218	piece(s) of {animal} meat	piece(s) of {animal} meat (with skin)	'piece(s) of {animal} meat' and 'has part' some ('derives from' some 'skin of body')			One or more pieces of {animal} meat that contains skin.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010219	piece(s) of {animal} meat	piece(s) of {animal} meat (skinless)	'piece(s) of {animal} meat' and not ('has part' some ('derives from' some 'skin of body'))			One or more pieces of {animal} meat that is skinless.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010220	piece(s) of {animal} meat (skinless)	piece(s) of {animal} meat (skinless, raw)	'piece(s) of {animal} meat (skinless)' and 'has quality' some 'raw'			One or more pieces of {animal} meat that is skinless and raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010221	piece(s) of {animal} meat (with skin)	piece(s) of {animal} meat (with skin, raw)	'piece(s) of {animal} meat (with skin)' and 'has quality' some 'raw'			One or more pieces of {animal} meat that contains skin and is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010222	piece(s) of {animal} meat	piece(s) of {animal} meat (boneless)	'piece(s) of {animal} meat' and not ('has part' some ('derives from' some 'bone element')) 			One or more pieces of {animal} meat that is boneless.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010223	piece(s) of {animal} meat	{animal} meat (ground)	'piece(s) of {animal} meat' and 'is_specified_output_of' some 'food grinding process' 			{animal} meat that has been ground.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010224	{animal} meat (ground)	{animal} meat (ground, raw)	'{animal} meat (ground)' and 'has quality' some 'raw'			{animal} meat that has been ground and is raw.	meat (ground) in FoodOn.				2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010225	{animal} meat (ground)	{animal} meat (ground, boneless)	'{animal} meat (ground)' and 'piece(s) of {animal} meat (boneless)'								2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010226	piece(s) of {animal} meat (boneless)	piece(s) of {animal} meat (deboned)	'piece(s) of {animal} meat (boneless)' and 'is_specified_output_of' some 'deboning process'			One or more pieces of {animal} meat that has been deboned.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010227	piece(s) of {animal} meat (deboned)	piece(s) of {animal} meat (deboned, raw)	'piece(s) of {animal} meat (deboned)' and 'has quality' some 'raw'			One or more pieces of {animal} meat that has been deboned and is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010228	piece(s) of {animal} meat (deboned)	piece(s) of {animal} meat (mechanically deboned)				One or more pieces of {animal} meat that is mechanically deboned by forcing bones, with attached edible meat, under high pressure through a sieve or similar device to separate the bone from the edible meat tissue.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010229	piece(s) of {animal} meat (mechanically deboned)	piece(s) of {animal} meat (mechanically deboned, raw)	'piece(s) of {animal} meat (mechanically deboned)' and 'has quality' some 'raw'			One or more pieces of {animal} meat that is mechanically deboned and is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010230	{animal} meat (ground)	{animal} meat (ground, deboned)	'{animal} meat (ground)' and 'piece(s) of {animal} meat (deboned)'			{animal} meat that has been ground and deboned.					2023-08-01T21:25:29Z			ready for release																																				
